subnet,channelName,channelId,messageId,messageUrl,up,down,total,status,hype,scrapeStatus,auditedAt
ъ・τaolend・116,ъ・τaolend・116,1379496997752410172,1508073613188661268,https://discord.com/channels/799672011265015819/1379496997752410172/1508073613188661268,2,7,9,bunk,0,target-verified,2026-05-24T22:20:01.828Z
ⲁ・unclaimed・117,ⲁ・unclaimed・117,1499147039924031508,1508073607790854154,https://discord.com/channels/799672011265015819/1499147039924031508/1508073607790854154,6,2,8,legit,14,target-verified,2026-05-24T22:16:52.992Z
ⲁ・ditto・118,ⲁ・ditto・118,1499448472246419608,1508073603982426214,https://discord.com/channels/799672011265015819/1499448472246419608/1508073603982426214,14,1,15,legit,0,target-verified,2026-05-24T22:16:58.260Z
ⲃ・saτori・119,ⲃ・saτori・119,1381660350818029578,1508073599666225203,https://discord.com/channels/799672011265015819/1381660350818029578/1508073599666225203,0,4,4,bunk,0,target-verified,2026-05-24T22:20:06.413Z
ⴷ・ⴷffine・120,ⴷ・ⴷffine・120,1381987595881414656,1508073595434434600,https://discord.com/channels/799672011265015819/1381987595881414656/1508073595434434600,29,3,32,legit,4,target-verified,2026-05-24T22:17:07.971Z
ⲅ・sundae-bar・121,ⲅ・sundae-bar・121,1382818027241738352,1508073590967505007,https://discord.com/channels/799672011265015819/1382818027241738352/1508073590967505007,8,3,11,legit,1,target-verified,2026-05-24T22:17:13.405Z
ⲅ・unclaimed・122,ⲅ・unclaimed・122,1507378701111656568,1508073586932580382,https://discord.com/channels/799672011265015819/1507378701111656568/1508073586932580382,13,2,15,legit,6,target-verified,2026-05-24T22:17:19.185Z
𑀀・mantis・123,𑀀・mantis・123,1384252267770806293,1508073582419247224,https://discord.com/channels/799672011265015819/1384252267770806293/1508073582419247224,15,4,19,legit,0,target-verified,2026-05-24T22:17:24.707Z
𑀁・swarm・124,𑀁・swarm・124,1385341501130801172,1508073577100869654,https://discord.com/channels/799672011265015819/1385341501130801172/1508073577100869654,12,5,17,legit,0,target-verified,2026-05-24T22:17:30.176Z
𑀂・flyspeck・125,𑀂・flyspeck・125,1386721054906646549,1508073572000858112,https://discord.com/channels/799672011265015819/1386721054906646549/1508073572000858112,0,13,13,bunk,0,target-verified,2026-05-24T22:20:13.966Z
𑀃・poker44・126,𑀃・poker44・126,1386721120652361800,1508073567462490253,https://discord.com/channels/799672011265015819/1386721120652361800/1508073567462490253,10,8,18,legit,4,target-verified,2026-05-24T22:17:39.750Z
𑀅・asτrid・127,𑀅・asτrid・127,1387151679266230323,1508073563079577781,https://discord.com/channels/799672011265015819/1387151679266230323/1508073563079577781,2,14,16,bunk,0,target-verified,2026-05-24T22:17:45.385Z
න・byteleap・128,න・byteleap・128,1387438124132733110,1508073533232644206,https://discord.com/channels/799672011265015819/1387438124132733110/1508073533232644206,0,9,9,bunk,0,target-verified,2026-05-24T22:17:50.599Z
