subnet,channelName,channelId,messageId,messageUrl,up,down,total,scrapeStatus
᚛・veraτhos・96,᚛・veraτhos・96,1480627157406584945,1508073709494079630,https://discord.com/channels/799672011265015819/1480627157406584945/1508073709494079630,6,0,6,verified
ა・distil・97,ა・distil・97,1482026267392868583,1508073704230223953,https://discord.com/channels/799672011265015819/1482026267392868583/1508073704230223953,29,3,32,verified
ბ・forevermoney・98,ბ・forevermoney・98,1366426973781364816,1508073697154695259,https://discord.com/channels/799672011265015819/1366426973781364816/1508073697154695259,3,6,9,verified
გ・leoma・99,გ・leoma・99,1465791819756339261,1508073693321105418,https://discord.com/channels/799672011265015819/1465791819756339261/1508073693321105418,8,4,12,verified
დ・plaτform・100,დ・plaτform・100,1429935142847381617,1508073689239781467,https://discord.com/channels/799672011265015819/1429935142847381617/1508073689239781467,24,0,24,verified
ე・unclaimed・101,ე・unclaimed・101,1368946065738436749,1508073683426607114,https://discord.com/channels/799672011265015819/1368946065738436749/1508073683426607114,1,2,3,verified
ვ・connito-ai・102,ვ・connito-ai・102,1488167959565308004,1508073678628327545,https://discord.com/channels/799672011265015819/1488167959565308004/1508073678628327545,15,4,19,verified
ա・djinn・103,ա・djinn・103,1465362098971345010,1508073674551460001,https://discord.com/channels/799672011265015819/1465362098971345010/1508073674551460001,10,3,13,verified
բ・sovereign・104,բ・sovereign・104,1370430761408139404,1508073669467832530,https://discord.com/channels/799672011265015819/1370430761408139404/1508073669467832530,1,12,13,verified
գ・beam・105,գ・beam・105,1437473346026475702,1508073665282052308,https://discord.com/channels/799672011265015819/1437473346026475702/1508073665282052308,35,0,35,verified
դ・voidai・106,դ・voidai・106,1371902705605546075,1508073660659929219,https://discord.com/channels/799672011265015819/1371902705605546075/1508073660659929219,7,2,9,verified
ミ・minos・107,ミ・minos・107,1467949024769478793,1508073654754344971,https://discord.com/channels/799672011265015819/1467949024769478793/1508073654754344971,0,0,0,verified
զ・talkhead・108,զ・talkhead・108,1450185343205904565,1508073648945106945,https://discord.com/channels/799672011265015819/1450185343205904565/1508073648945106945,6,11,17,verified
ى・academia・109,ى・academia・109,1455931857873928316,1508073645589659805,https://discord.com/channels/799672011265015819/1455931857873928316/1508073645589659805,4,2,6,verified
