netuid,name,symbol,taoFlow,taoFlowBlock,burnEmissionPct,ownerEmission,totalNeuronEmission,subnetEmission,subnetEmissionPct,burnCost,taoIn,alphaIn,alphaOut,movingPrice,subnetVolume
110,Green Compute,Ѐ,-128.207591108,8258985,0.0,,4059714.0,0.013499169607,1.349917,0.0005,4934.660810255,606070.10872766,1359409.544110399,0.00811953,1248.59445335
111,oneoneone,Ё,-49.292036051,8258985,25.613794,,15349.0,3.0699953e-05,0.00307,0.0005,4843.994096858,1242151.20591337,2182372.040906358,0.003896668,91.85375476
112,minotaur,Ђ,12.391235488,8258985,100.0,,1359891.0,0.002719782932,0.271978,0.001160075,5129.706591719,914128.564340481,1044987.982787581,0.005611544,452.531762105
113,TensorUSD,Ѓ,-147.278621088,8258985,100.0,,2254127.0,0.004508254165,0.450825,0.001,2500.063757269,447539.252481083,619734.299988949,0.005586575,198.033581226
114,SOMA,Є,167.042649418,8258985,99.911498,,3993220.0,0.007986440785,0.798644,0.05,2404.297547442,284347.75101029,526407.348163625,0.008462744,353.535660178
115,HashiChain,Ѕ,-131.691810675,8258985,100.0,,0.0,0.0,0.0,0.0005,5705.693714083,847455.291789847,779005.964625689,0.006745234,14.274395289
116,TaoLend,ⴵ,-785.860543637,8258985,0.0,,0.0,0.0,0.0,0.0005,2842.609181267,1266410.462552355,1360690.646607548,0.002244841,1596.107300247
117,Unknown,Ⲁ,-141.741889786,8258985,0.0,,0.0,0.0,0.0,0.01,3176.066641477,876045.061858202,1070192.225898174,0.003627231,1388.697451465
118,Ditto,ⲁ,-427.587728347,8258985,100.0,,12629917.0,0.052630204775,5.26302,0.0005,8793.83387872,346239.792269969,1576755.958057441,0.025257864,2655.609032267
119,Satori,Ⲃ,-198.199078175,8258985,100.0,,0.0,0.0,0.0,0.0005,4918.996642111,847841.364705995,605217.86269269,0.005804609,50.150587391
120,Affine,ⴷ,402.906964863,8258985,0.0,,0.0,0.0,0.0,0.5,82078.590479017,1292333.300645174,1905572.319438942,0.063294935,5956.186557948
121,sundae_bar,Ⲅ,42.984227444,8258985,100.0,,0.0,0.0,0.0,0.0005,7280.693611671,1175622.863853048,1372187.037765787,0.006230727,104.009296239
122,Unknown,ⲅ,489.997428443,8258985,100.0,,6483979.0,0.012967959199,1.296796,0.999999999,1256.615787448,79812.364817197,57696.255532533,0.015744647,2069.222429268
123,MANTIS,𑀀,1201.697972878,8258985,48.032349,,2856684.0,0.020209317449,2.020932,0.3,8533.360527364,1497864.735619589,1896200.047729967,0.005713496,958.952486167
124,Swarm,𑀁,-173.404260812,8258985,95.37499,,0.0,0.0,0.0,0.0005,9155.844754174,1266458.36715197,1763515.075783554,0.007209705,140.765971668
125,8 Ball,𑀂,-79.781346648,8258985,100.0,,0.0,0.0,0.0,0.0005,7425.626432385,1433812.121349778,1182630.217179543,0.005204786,40.663425298
126,Poker44,𑀃,44.360341024,8258985,97.102312,,3149917.0,0.006922769746,0.692277,0.0005,1563.776824351,248280.305680297,362894.168649669,0.006299779,57.538138416
127,Astrid,𑀅,-164.40448702,8258985,100.0,,0.0,0.0,0.0,0.0005,4047.436264595,934610.036266331,1512978.9724076,0.004331157,289.71795984
128,ByteLeap,න,-182.956085086,8258985,0.0,,1997724.0,0.003995448288,0.399545,0.0005,4678.038210118,1159090.777984796,2148726.436038381,0.004014128,298.15940928
